instance_id,framework,language,repository,seed_path,defects,reported_defects,unreported_defects,defect_type_tags,f2p_checkpoints,p2p_checkpoints,total_checkpoints,verifier_timeout_sec,gold_patch_files,gold_patch_changed_lines,score_qwen3_8_max,f2p_rate_qwen3_8_max,p2p_rate_qwen3_8_max,build_failed_qwen3_8_max,score_qwen3_6_flash,f2p_rate_qwen3_6_flash,p2p_rate_qwen3_6_flash,build_failed_qwen3_6_flash
repair-angular__angular-editor-fabric-js-01,angular,typescript,saqib92/angular-editor-fabric-js,repo/angular/angular-editor-fabric-js,13,7,6,13,14,12,26,1500.0,3,24,52.38,0.5714,0.9167,False,0,,,True
repair-angular__angular-example-app-01,angular,typescript,angular/angular-example-app,repo/angular/angular-example-app,12,7,5,12,19,9,28,1800.0,13,31,0,,,True,0,,,True
repair-angular__angular-material-admin-full-01,angular,typescript,flatlogic/angular-material-admin-full,repo/angular/angular-material-admin-full,12,7,5,12,12,8,20,1800.0,7,24,,,,,,,,
repair-angular__angular-material-dashboard-01,angular,typescript,soufiane-fadil/angular-material-dashboard,repo/angular/angular-material-dashboard,12,6,6,12,12,29,41,1800.0,12,24,69.83,0.75,0.931,False,72.41,0.75,0.9655,False
repair-angular__angular-minesweeper-01,angular,typescript,angular/angular-minesweeper,repo/angular/angular-minesweeper,13,7,6,13,12,13,25,1800.0,5,42,14.1,0.1667,0.8462,False,25.64,0.3333,0.7692,False
repair-angular__angular-movie-app-01,angular,typescript,abidakram01/angular-movie-app,repo/angular/angular-movie-app,12,6,6,12,12,28,40,1800.0,12,25,46.43,0.5,0.9286,False,44.64,0.5,0.8929,False
repair-angular__angular-rpg-01,angular,typescript,angular/angular-rpg,repo/angular/angular-rpg,12,5,7,12,12,18,30,2400.0,10,24,33.33,0.3333,1,False,34.72,0.4167,0.8333,False
repair-angular__angular-tailwind-01,angular,typescript,lannodev/angular-tailwind,repo/angular/angular-tailwind,12,7,5,12,12,12,24,1800.0,12,24,,,,,,,,
repair-angular__angular-tetris-01,angular,typescript,angular/angular-tetris,repo/angular/angular-tetris,11,6,5,10,14,20,34,1800.0,6,32,35.71,0.3571,1,False,47.5,0.5,0.95,False
repair-angular__angular-tiptap-editor-01,angular,typescript,FloGeez/angular-tiptap-editor,repo/angular/angular-tiptap-editor,12,7,5,12,12,12,24,1800.0,12,24,,,,,,,,
